FormName,FormFreq,Username,Know what is expected of you as a worker,Help build a team as a working unit,Determine what is expected of you on the job,"Know how things ""really work"" inside an organisation",Work under pressure,Master an organisation's slang and special jargon,Manage conflict among group members,Understand what all of the duties of your role entail,Solve new and difficult problems,Work under extreme cricumstances,Understand the politics in the organisation,Continue to learn once you're on the job,Develop cooperative working relationships with others,Invent new ways of doing things,Solve most problems even though no solution is immediately apparent,Find out exactly what a problem is when fist becoming aware of it,Listen effectively to gain information,Know an organisation's long-held traditions,Work well in situations that other people consider stressful,Understand the behaviour appropriate to your role,Challenge things that are done by the book,Learn from your mistakes,Solve problems no matter how complex,Coordinate tasks within you work group,Learn to improve on your past performance,Be sensitive to other's feelings and attitudes,Function well at work even when faced with personal difficulties,Concentrate on what someone is saying to you even though other things could distract you,Listen effectively to understand opposing points of view,Have the skills and abilities to do my job properly,Date,ID
Autistica - Work: Self Confidence,120,36480781,A little,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,14/06/2019,1209
Autistica - Work: Self Confidence,120,86004302,Not confident at all,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,14/06/2019,1210
Autistica - Work: Self Confidence,120,74046800,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,14/06/2019,1211
Autistica - Work: Self Confidence,120,67512682,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,A little,14/06/2019,1212
Autistica - Work: Self Confidence,120,87436666,Completely confident,A little,Moderate,A little,A little,A little,A little,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,A little,14/06/2019,1213
Autistica - Work: Self Confidence,120,28755653,Completely confident,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,14/06/2019,1214
Autistica - Work: Self Confidence,120,66722819,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,14/06/2019,1215
Autistica - Work: Self Confidence,120,65438804,Not confident at all,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,14/06/2019,1216
Autistica - Work: Self Confidence,120,15938146,Completely confident,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,14/06/2019,1217
Autistica - Work: Self Confidence,120,37603401,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,A little,A little,A little,Moderate,14/06/2019,1218
Autistica - Work: Self Confidence,120,23337145,Completely confident,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,A little,14/06/2019,1219
Autistica - Work: Self Confidence,120,99599196,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,14/06/2019,1220
Autistica - Work: Self Confidence,120,25718877,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,14/06/2019,1221
Autistica - Work: Self Confidence,120,97909632,Completely confident,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,14/06/2019,1222
Autistica - Work: Self Confidence,120,40268226,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,14/06/2019,1223
Autistica - Work: Self Confidence,120,63985686,Completely confident,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,14/06/2019,1224
Autistica - Work: Self Confidence,120,63237915,Completely confident,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,A little,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,14/06/2019,1225
Autistica - Work: Self Confidence,120,50544037,Not confident at all,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,14/06/2019,1226
Autistica - Work: Self Confidence,120,14286843,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,14/06/2019,1227
Autistica - Work: Self Confidence,120,53175760,Completely confident,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,14/06/2019,1228
Autistica - Work: Self Confidence,120,56361261,Not confident at all,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,14/06/2019,1229
Autistica - Work: Self Confidence,120,66411825,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,A little,14/06/2019,1230
Autistica - Work: Self Confidence,120,34060153,Completely confident,A little,A little,A little,A little,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,14/06/2019,1231
Autistica - Work: Self Confidence,120,11168511,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,A little,14/06/2019,1232
Autistica - Work: Self Confidence,120,85920205,Completely confident,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,14/06/2019,1233
Autistica - Work: Self Confidence,120,83766303,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,14/06/2019,1234
Autistica - Work: Self Confidence,120,64793738,Completely confident,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,14/06/2019,1235
Autistica - Work: Self Confidence,120,59096037,Not confident at all,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,14/06/2019,1236
Autistica - Work: Self Confidence,120,77773077,Not confident at all,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,14/06/2019,1237
Autistica - Work: Self Confidence,120,47375033,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,A little,A little,14/06/2019,1238
Autistica - Work: Self Confidence,120,39847852,Not confident at all,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,14/06/2019,1239
Autistica - Work: Self Confidence,120,68971632,Completely confident,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,14/06/2019,1240
Autistica - Work: Self Confidence,120,22090963,Not confident at all,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,14/06/2019,1241
Autistica - Work: Self Confidence,120,60377624,Not confident at all,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,14/06/2019,1242
Autistica - Work: Self Confidence,120,30738880,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,A little,Moderate,14/06/2019,1243
Autistica - Work: Self Confidence,120,86589369,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,A little,A little,14/06/2019,1244
Autistica - Work: Self Confidence,120,66155821,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,A little,Moderate,A little,14/06/2019,1245
Autistica - Work: Self Confidence,120,61677296,Not confident at all,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,A little,A little,Moderate,14/06/2019,1246
Autistica - Work: Self Confidence,120,56419454,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,14/06/2019,1247
Autistica - Work: Self Confidence,120,86397034,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,14/06/2019,1248
Autistica - Work: Self Confidence,120,41455969,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,14/06/2019,1249
Autistica - Work: Self Confidence,120,23394144,Completely confident,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,A little,A little,A little,14/06/2019,1250
Autistica - Work: Self Confidence,120,21326904,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,14/06/2019,1251
Autistica - Work: Self Confidence,120,44980497,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,14/06/2019,1252
